ID,commande_ID,type,severite,message,details,lu,acquitte,destinataires_roles,date_creation,date_acquittement
11111111-0001-0000-0000-000000000000,cccccccc-0001-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00001 en retard - risque eleve detecte,,false,false,,2025-11-24T02:30:00Z,
11111111-0002-0000-0000-000000000000,cccccccc-0002-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00002 en retard - risque eleve detecte,,false,false,,2025-10-27T15:12:00Z,
11111111-0003-0000-0000-000000000000,cccccccc-0004-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00004 en retard - risque eleve detecte,,false,false,,2025-08-18T03:34:00Z,
11111111-0004-0000-0000-000000000000,cccccccc-0012-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00012 en retard - risque eleve detecte,,false,false,,2025-11-10T04:59:00Z,
11111111-0005-0000-0000-000000000000,cccccccc-0013-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00013 en retard - risque eleve detecte,,false,false,,2025-08-24T19:02:00Z,
11111111-0006-0000-0000-000000000000,cccccccc-0016-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00016 en retard - risque eleve detecte,,false,false,,2025-10-20T22:26:00Z,
11111111-0007-0000-0000-000000000000,cccccccc-0020-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00020 en retard - risque eleve detecte,,false,false,,2025-11-04T13:07:00Z,
11111111-0008-0000-0000-000000000000,cccccccc-0022-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00022 en retard - risque eleve detecte,,false,false,,2025-11-18T02:40:00Z,
11111111-0009-0000-0000-000000000000,cccccccc-0026-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00026 en retard - risque eleve detecte,,false,false,,2025-11-28T13:37:00Z,
11111111-0010-0000-0000-000000000000,cccccccc-0028-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00028 en retard - risque eleve detecte,,false,false,,2025-10-08T17:13:00Z,
11111111-0011-0000-0000-000000000000,cccccccc-0031-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00031 en retard - risque eleve detecte,,false,false,,2025-09-08T21:41:00Z,
11111111-0012-0000-0000-000000000000,cccccccc-0036-0000-0000-000000000000,BLOQUE,ELEVE,Commande PO-2025-00036 bloquee - investigation requise,,false,false,,2025-11-19T08:31:00Z,
11111111-0013-0000-0000-000000000000,cccccccc-0040-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00040 en retard - risque eleve detecte,,false,false,,2025-09-28T12:01:00Z,
11111111-0014-0000-0000-000000000000,cccccccc-0044-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00044 en retard - risque eleve detecte,,false,false,,2025-10-03T02:24:00Z,
11111111-0015-0000-0000-000000000000,cccccccc-0046-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00046 en retard - risque eleve detecte,,false,false,,2025-10-13T11:12:00Z,
11111111-0016-0000-0000-000000000000,cccccccc-0052-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00052 en retard - risque eleve detecte,,false,false,,2025-12-02T23:20:00Z,
11111111-0017-0000-0000-000000000000,cccccccc-0057-0000-0000-000000000000,BLOQUE,CRITIQUE,Commande PO-2025-00057 bloquee avec risque eleve,,false,false,,2025-10-12T07:38:00Z,
11111111-0018-0000-0000-000000000000,cccccccc-0058-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00058 en retard - risque eleve detecte,,false,false,,2025-08-23T17:49:00Z,
11111111-0019-0000-0000-000000000000,cccccccc-0060-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00060 en retard - risque eleve detecte,,false,false,,2025-09-10T03:33:00Z,
11111111-0020-0000-0000-000000000000,cccccccc-0063-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00063 en retard - risque eleve detecte,,false,false,,2025-09-16T17:56:00Z,
11111111-0021-0000-0000-000000000000,cccccccc-0066-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00066 en retard - risque eleve detecte,,false,false,,2025-10-18T01:44:00Z,
11111111-0022-0000-0000-000000000000,cccccccc-0067-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00067 en retard - risque eleve detecte,,false,false,,2025-09-25T10:47:00Z,
11111111-0023-0000-0000-000000000000,cccccccc-0073-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00073 en retard - risque eleve detecte,,false,false,,2025-12-15T04:11:00Z,
11111111-0024-0000-0000-000000000000,cccccccc-0081-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00081 en retard - risque eleve detecte,,false,false,,2025-09-17T03:58:00Z,
11111111-0025-0000-0000-000000000000,cccccccc-0084-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00084 en retard - risque eleve detecte,,false,false,,2025-10-10T03:46:00Z,
11111111-0026-0000-0000-000000000000,cccccccc-0085-0000-0000-000000000000,BLOQUE,ELEVE,Commande PO-2025-00085 bloquee - investigation requise,,false,false,,2025-12-11T13:06:00Z,
11111111-0027-0000-0000-000000000000,cccccccc-0090-0000-0000-000000000000,RETARD,ELEVE,Commande PO-2025-00090 en retard - risque eleve detecte,,false,false,,2025-12-04T17:05:00Z,
